Substrate ID,SMILES,sasa_area,sasa_volume,disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,ip,ea,homo,lumo,electrophilicity,nucleophilicity,electrofugality,nucleofugality,dipole_x,dipole_y,dipole_z,mass,radius,charge
1,OC1=C(C([H])=O)C([C@H](C)C(C)=O)=C(C)C(O)=C1C,,,,,,,,,,,,,,,,,,,,,
2,OC1=C(C(C)=O)C=C(C)C(O)=C1C,,,,,,,,,,,,,,,,,,,,,
3,OC1=CC=CC=C1C([O-])=O,,,,,,,,,,,,,,,,,,,,,
4,OC1=CC=C(CC([H])=O)C=C1,,,,,,,,,,,,,,,,,,,,,
5,OC1=C(O)C=C(CC[NH3+])C=C1,,,,,,,,,,,,,,,,,,,,,
6,[O-]C(C1=CN=C(CO)C=C1)=O,,,,,,,,,,,,,,,,,,,,,
7,[O-]C(/C=C/C1=CC(OC)=CC(OC)=C1)=O,,,,,,,,,,,,,,,,,,,,,
8,OC1=C(C)C(O)=C(C([H])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
9,O=CC1=C(Br)C=C(OC)C(C)=C1OC,,,,,,,,,,,,,,,,,,,,,
10,OC1=C(C)C([O-])=C(C(C)=O)C=C1,,,,,,,,,,,,,,,,,,,,,
11,O=C1C2=CC=CC=C2OC(C3=CC=CC=C3)=C1OC,,,,,,,,,,,,,,,,,,,,,
12,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=CC=C3)=C1,,,,,,,,,,,,,,,,,,,,,
13,O=C1OC2=CC(O)=C(OC)C=C2C=C1,,,,,,,,,,,,,,,,,,,,,
14,O[C@H]1C2=CC=CC=C2O[C@H](C3=CC=CC=C3)[C@H]1O,,,,,,,,,,,,,,,,,,,,,
15,O=C1C2=CC=CC=C2O[C@H](C3=CC=CC=C3)[C@H]1O,,,,,,,,,,,,,,,,,,,,,
16,O=C([O-])CC1=CNC2=C1C=CC=C2,,,,,,,,,,,,,,,,,,,,,
17,O=C(C)NCCC1=CNC2=CC=C(C=C12)OC,,,,,,,,,,,,,,,,,,,,,
18,FC1=CC2=CC=CC=C2C=C1OC,,,,,,,,,,,,,,,,,,,,,
19,O=C1C[C@@H](C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,,,,,,,,,,,,,,,,,,,,,
20,O=C1C=C(C)OC2=CC(OC)=C(C)C(OC)=C21,,,,,,,,,,,,,,,,,,,,,
21,O=C(OC1)C2=C1[C@]3(C)C(O[C@@]4(C)CC[C@@]5([H])C(C)(C)C(CC[C@]5(C)[C@]4([H])C3)=O)=C(C)C2=O,,,,,,,,,,,,,,,,,,,,,
22,O=C(O[C@H](C)C1)C2=C1C3=C(C=C2O)O[C@@]4(C)CC[C@@]5([H])C(C)(C)C(CC[C@]5(C)[C@]4([H])C3)=O,,,,,,,,,,,,,,,,,,,,,
23,O=C(O[C@H](C)C1)C2=C1C3=C(C=C2O)O[C@@]4(C)CC[C@@]5([H])C(C)(C)C(C=C[C@]5(C)[C@]4([H])C3)=O,,,,,,,,,,,,,,,,,,,,,
24,O=C([O-])[C@]1(C)CCC[C@]2(C)[C@]1([H])[C@H](C([O-])=O)[C@]3(CC4=C)[C@@]2([H])CC[C@@H]4C3,,,,,,,,,,,,,,,,,,,,,
25,O=C1[C@]2(C)C=C3[C@@]4(COC3=O)[C@]5(C2)CC[C@@]6([H])C(C)(C)C(C=C[C@]6(C)[C@]5([H])C[C@]41C)=O,,,,,,,,,,,,,,,,,,,,,
26,O=C1[C@H](C)OC([C@]([C@@]21C)([H])[C@@]3(C)[C@H](O)C(C4C(C)(C)C(CC[C@@]4(C)[C@]3([H])CC2=C)=O)=O)=O,,,,,,,,,,,,,,,,,,,,,
27,[H][C@@]12[C@@](C[C@@]3(O)CC2)(CC3=C)[C@@H](C([O-])=O)[C@]4([H])[C@@]5(C)CCC[C@]41OC5=O,,,,,,,,,,,,,,,,,,,,,
28,[H][C@@]12[C@@](C[C@@]3(O)CC2)(CC3=C)[C@@H](C([O-])=O)[C@]4([H])[C@@]5(C)[C@@H](O)CC[C@]41OC5=O,,,,,,,,,,,,,,,,,,,,,
29,[H][C@]12C(C)(C)CCC[C@]1(C)[C@]3([H])[C@@](OC(C3)=O)(C)CC2,,,,,,,,,,,,,,,,,,,,,
30,[H][C@@]12[C@@]([C@@]([C@]3([H])C[C@@]4(C)C5=O)(COC3=O)[C@@]5(C)C2)(C4)CC[C@]6([H])[C@@]1(C=CC(OC6(C)C)=O)C,,,,,,,,,,,,,,,,,,,,,
31,[H][C@@]12[C@](C(C3=O)(C(OC)=O)C([C@@](C([C@@]3(O)C)=O)(C)C2)=C)(C)CC[C@@]4([H])[C@]1(CCC(OC4(C)C)=O)C,,,,,,,,,,,,,,,,,,,,,
32,C[C@@]1(CCC(OC2(C)C)=O)[C@]2([H])CC[C@@](C3C4=O)(C)[C@@]1([H])C[C@](C([C@]4(C)O)=O)(C)C3=C,,,,,,,,,,,,,,,,,,,,,
33,[NH3+][C@@H](CCCNC(N)=[NH2+])C([O-])=O,,,,,,,,,,,,,,,,,,,,,
34,O=C([O-])[C@H]1[NH2+]CCC1,,,,,,,,,,,,,,,,,,,,,
35,[NH3+][C@H](C([O-])=O)CC(C)C,,,,,,,,,,,,,,,,,,,,,
36,[NH3+][C@@H](CC1=CC=C(O)C=C1)C([O-])=O,,,,,,,,,,,,,,,,,,,,,
37,[NH3+][C@@H](CCC(N)=O)C([O-])=O,,,,,,,,,,,,,,,,,,,,,
38,[NH3+][C@@H]([C@@H](C)CC)C([O-])=O,,,,,,,,,,,,,,,,,,,,,
39,O=C([O-])[C@@H]([NH3+])CC1=CNC=N1,,,,,,,,,,,,,,,,,,,,,
40,O=C([O-])[C@@H]([NH3+])CC1=CNC2=C1C=CC=C2,,,,,,,,,,,,,,,,,,,,,
41,O=C([O-])[C@@H]([NH3+])CC1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,
42,[H][C@@]12N(C)C3=CC=CC([C@](C=C(C)C)([H])N(CC4)[C@H]5[NH2+]CC6)=C3[C@]14[C@@]56C7=C(C=CC=C7)N2,,,,,,,,,,,,,,,,,,,,,
43,O=C(C1=CC=CC=C1N2)N(C)[C@@H](CC3=CC=C(OC)C=C3)C2=O,,,,,,,,,,,,,,,,,,,,,
44,OC1[C@]([N@H+]2C3)([C@@H](C)CC2)C[C@H]([C@@]3(N1C)C4)C(C)(C)[C@@]54CNC6=C7C(OC(C)(C)C=C7)=CC=C65,,,,,,,,,,,,,,,,,,,,,
45,[H][C@]1(C(N[C@@](C(N([C@@H](CC2=CC=CC=C2)C(N3[C@]4([H])CCC3)=O)C4=O)=O)([H])C)=O)CN(C)[C@](C5=C1)([H])CC6=CNC7=C6C5=CC=C7,,,,,,,,,,,,,,,,,,,,,
46,[H][C@]12[C@]3(CC)C[C@@](C(OC)=O)(O)[C@]4([H])N(C)C5=CC(OC)=CC=C5[C@@]41CC[NH+]2CC=C3,,,,,,,,,,,,,,,,,,,,,
47,O=C([C@]1(O)[C@@H](O)C2=C([C@H](C=C(C)C)N13)N(CC=C(C)C)C4=C2C=CC(OC)=C4)N5[C@](CCC5)([H])C3=O,,,,,,,,,,,,,,,,,,,,,
48,[H][C@@]12[NH+](C[C@]3([H])[C@]4([H])[C@@]2([H])CCC[NH+]4CCC3)CCCC1,,,,,,,,,,,,,,,,,,,,,
49,[H][C@@]12N(C[C@]3([H])[C@]4([H])[C@@]2([H])CCC[NH+]4CCC3)C(CCC1)=O,,,,,,,,,,,,,,,,,,,,,
50,O=C1C(C2=CC=CC=C2)=C3C([C@H]1C4=CC=CC=C4)=C(CCCC)CCC(C(OCC)=O)(C(OCC)=O)C3,,,,,,,,,,,,,,,,,,,,,
51,[O-]C1=C2C(CO1)=CC([C@](O)(C)C2=O)=O,,,,,,,,,,,,,,,,,,,,,
52,O=C(N(C)C)N[C@@]1(CC)[C@@H](N=[N+]=[N-])C=C(C)[C@]1(C)OCOCC2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,
53,CC([C@]1([H])CC[C@@]2(C)O[C@]2([H])CC3)(C)C[C@]1([H])C3=C,,,,,,,,,,,,,,,,,,,,,
54,CC(CC/C=C(C)/CCC=C(C)C)=O,,,,,,,,,,,,,,,,,,,,,
55,[O-]C1=C(C=O)C(C)=CC([C@]1(O)C)=O,,,,,,,,,,,,,,,,,,,,,
56,O=C([C@@H](C1=CC=CC=C1)CO)O[C@H]2C[C@H]([N@@H+]3C)CC[C@H]3C2,,,,,,,,,,,,,,,,,,,,,
57,C=C[C@@]1([H])C(CCCNC(N)=[NH2+])NC(N)=[NH+]1,,,,,,,,,,,,,,,,,,,,,
58,O=C(C=C1CC)[C@]2(C)[C@]1([H])CC=C(C)C[C@@H]2O,,,,,,,,,,,,,,,,,,,,,
59,[O-]C([C@H]1[NH+]=C(C)NCC1)=O,,,,,,,,,,,,,,,,,,,,,
60,O=C1CC[C@H](CC([O-])=O)[C@H]1C/C=C\CC,,,,,,,,,,,,,,,,,,,,,
61,[H][C@]12[C@]([C@]3([H])C=C2C([O-])=O)(CC(C)(C)C3)[C@H](C)CC1,,,,,,,,,,,,,,,,,,,,,
62,[H][C@@]1([C@@H](NC(C)=O)CC2)[NH+]2CCC1,,,,,,,,,,,,,,,,,,,,,
63,O[C@H]1CC[NH+]2CCCC[C@]21[H],,,,,,,,,,,,,,,,,,,,,
64,O[C@@H]1[C@H](O)C[NH+]2CCCC[C@]21[H],,,,,,,,,,,,,,,,,,,,,
65,O=C1OC[C@H](CC2=CC3=C(OCO3)C=C2)[C@H]1CC4=CC(OC)=C(OC)C(OC)=C4,,,,,,,,,,,,,,,,,,,,,
66,OC1[C@H]2[C@]34C5=C(O2)C(OC)=CC=C5C[C@@H]([N@@H+](CC4)C)[C@@H]3C=C1,,,,,,,,,,,,,,,,,,,,,
67,COC1=CC=C2C[C@@H](N(CC3)C)C4=CC=C(OC)C5[C@]43C2=C1O5,,,,,,,,,,,,,,,,,,,,,
68,O[C@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP([O-])([O-])=O)([O-])=O)([O-])=O)(C)C)C(NCCC(NCCSC(/C=C/C4=CC=C(O)C(OC)=C4)=O)=O)=O,,,,,,,,,,,,,,,,,,,,,
69,OC1=CC=C(C=C1)/C=C/C(SCCNC(CCNC(C(C(COP(OP(OCC2C(C(C(N(C=N3)C4=C3C(N)=NC=N4)O2)O)OP([O-])([O-])=O)([O-])=O)([O-])=O)(C)C)O)=O)=O)=O,,,,,,,,,,,,,,,,,,,,,
70,O=C(NCCC[C@H](NC(CCCCCCC/C=C\C/C=C\CCCCC)=O)C(N[C@@H]([C@H](O)C)C(N1[C@@H](CCC1)C2=O)=O)=O)[C@H](C[C@@H](C)C3)N3C([C@H]([C@H](O)C)NC([C@H](CCC4=CC=C(O)C=C4)N2)=O)=O,,,,,,,,,,,,,,,,,,,,,
71,[NH3+][C@H]([C@@H](O)CCCCCCCC[C@@H](O)C[C@H](C)C[C@@H](OC(C[C@@H](CC([O-])=O)C([O-])=O)=O)[C@H](OC(C[C@H](C([O-])=O)CC([O-])=O)=O)[C@H](C)CCCC)C,,,,,,,,,,,,,,,,,,,,,
72,[O-]C([C@H](CCCC(N[C@H](C(N[C@@H](C([O-])=O)C(C)C)=O)CS)=O)[NH3+])=O,,,,,,,,,,,,,,,,,,,,,
73,O=C([C@@H]1N2[C@@](SC1(C)C)([H])[C@@H](C2=O)NC(CCC[C@@H]([NH3+])C([O-])=O)=O)[O-],,,,,,,,,,,,,,,,,,,,,
74,[O-]C([C@H]([NH3+])CCCC(N[C@@H]1C(N2[C@]1([H])SCC(C)=C2C([O-])=O)=O)=O)=O,,,,,,,,,,,,,,,,,,,,,
75,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]2[C@@H](O)[C@@H]([NH2+]C3[C@@H](O)[C@H](O)[C@@H](O)C(CO)=C3)C[C@H](CO)[C@H]2O)[C@@H]1O,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,
77,[O-]N(C1=O)C2=C(C=CC=C2)O[C@@H]1O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3,,,,,,,,,,,,,,,,,,,,,
78,O=C(C=C1C(C[C@@]2([H])[C@]3([H])CC4)=C)CC[C@]1(C)[C@@]2([H])CC[C@]3(C)C4=O,,,,,,,,,,,,,,,,,,,,,
79,O=C(C[C@]1([H])OCC=C2C3)N4[C@@]5([H])[C@@]1([H])[C@H]2C[C@@H]6[N@H+]3CC[C@@]65C7=CC(OC)=C(OC)C=C74,,,,,,,,,,,,,,,,,,,,,
80,O=C([C@H]1CC[C@]2([H])[C@]1(C)CC[C@@]3([H])[C@]2([H])CC=C4[C@]3(C)CC[C@H](OC(C)=O)C4)C,,,,,,,,,,,,,,,,,,,,,
81,C1([NH+]2CCCCC2)CCCCC1,,,,,,,,,,,,,,,,,,,,,
82,[O-]C([C@@H]1N2C([C@H]([C@@]2([H])SC1(C)C)NC([C@@H](C3=CC=CC=C3)N)=O)=O)=O,,,,,,,,,,,,,,,,,,,,,
83,O=C(C)C1=C2C([C@](C(/C3=C(C)\[O-])=O)(C)C(O2)=CC3=O)=C(O)C(C)=C1[O-],,,,,,,,,,,,,,,,,,,,,
84,OC1=C(CC)C(O)=C(C([H])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
85,OC1=C(C([H])=O)C(C)=C(C)C(O)=C1C,,,,,,,,,,,,,,,,,,,,,
86,OC1=C(C([H])=O)C(Br)=CC([O-])=C1C,,,,,,,,,,,,,,,,,,,,,
87,OC1=C(C([H])=O)C(I)=CC([O-])=C1C,,,,,,,,,,,,,,,,,,,,,
88,OC1=C(C([H])=O)C(C#C)=CC([O-])=C1C,,,,,,,,,,,,,,,,,,,,,
89,OC1=C(C)C(O)=C(C([H])=O)C(C2=CC=CC=C2)=C1,,,,,,,,,,,,,,,,,,,,,
90,OC1=C(C(C)=O)C(C)=CC(O)=C1C,,,,,,,,,,,,,,,,,,,,,
91,OC1=C(C)C(O)=C(C(OC)=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
92,OC1=C(C)C(O)=C(C(CCCC)=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
93,[O-]C1=C(C)C(O)=C([N+]([O-])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
94,OC1=C(C)C(O)=C(/C([H])=N/C)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
95,OC1=C(C)C(O)=C(/C([H])=N/O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
96,OC1=C(C)C(O)=C(C(C2=CC=CC=C2)=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
97,[O-]C1=C(CSC2=CC=CC=C2)C(O)=C(C([H])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
98,OC1=C(C)C(O)=C2C(CCCCC2=O)=C1,,,,,,,,,,,,,,,,,,,,,
99,OC1=C(C(CC(C)C)=O)C(C)=CC(O)=C1C,,,,,,,,,,,,,,,,,,,,,
100,O=C1OCC2=CC(O)=C(C)C(O)=C21,,,,,,,,,,,,,,,,,,,,,
101,OC1=C2C(OC(C)=CC2=O)=CC(O)=C1C,,,,,,,,,,,,,,,,,,,,,
102,O=C1C(C)=C(C)OC2=CC(OC)=C(C)C(OC)=C21,,,,,,,,,,,,,,,,,,,,,
103,OC1=C(C)C(O)=C(C([H])=O)C(CC(CCC)=O)=C1,,,,,,,,,,,,,,,,,,,,,
104,OC1=C(C)C(O)=C(C(CCCC)=O)C=C1,,,,,,,,,,,,,,,,,,,,,
105,OC1=C(C(CCCC)=O)C=C(CC)C(O)=C1C,,,,,,,,,,,,,,,,,,,,,
106,OC1=C(C)C(O)=C(C(CCCC)=O)C=C1C,,,,,,,,,,,,,,,,,,,,,
107,OC1=C(C)C(O)=C(C(CCC)=O)C=C1C,,,,,,,,,,,,,,,,,,,,,
108,OC1=C(C([H])=O)C(O)=CC([O-])=C1C,,,,,,,,,,,,,,,,,,,,,
109,OC1=C(C)C(OC)=C(C([H])=O)C(OC)=C1,,,,,,,,,,,,,,,,,,,,,
110,OC1=CC(O)=CC(C)=C1,,,,,,,,,,,,,,,,,,,,,
111,OC1=C(C)C(O)=CC(C)=C1,,,,,,,,,,,,,,,,,,,,,
112,OC1=C(C(C)=O)C=CC(OC)=C1C,,,,,,,,,,,,,,,,,,,,,
113,OC1=C(C)C=CC=C1O,,,,,,,,,,,,,,,,,,,,,
114,OC1=CC=CC=C1C,,,,,,,,,,,,,,,,,,,,,
115,OC1=CC=CC(C)=C1,,,,,,,,,,,,,,,,,,,,,
116,OC1=C(C)C(O)=C(C([O-])=O)C=C1,,,,,,,,,,,,,,,,,,,,,
117,OC1=C(C([H])=O)C(C)=CC=C1C,,,,,,,,,,,,,,,,,,,,,
118,OC1=C(C([H])=O)C(O)=CC=C1C,,,,,,,,,,,,,,,,,,,,,
119,OC1=C(C)C(O)=C(C([H])=O)C=C1,,,,,,,,,,,,,,,,,,,,,
120,OC1=CC(O)=C(C([H])=O)C(C)=C1C,,,,,,,,,,,,,,,,,,,,,
121,OC1=C(C([H])=O)C(C)=CC([O-])=C1,,,,,,,,,,,,,,,,,,,,,
122,OCC1=[NH+]C(C)=C([O-])C=C1,,,,,,,,,,,,,,,,,,,,,
123,O=CC1=[NH+]C(C)=C([O-])C=C1,,,,,,,,,,,,,,,,,,,,,
124,OC1=C(C)C=C(C([H])=O)C(C2=CC=C(C=CC=C3)C3=C2)=C1,,,,,,,,,,,,,,,,,,,,,
125,OC1=C(C)C=C(C([H])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
126,[O-]C1=C(C)C=C(C([H])=O)C(Br)=C1,,,,,,,,,,,,,,,,,,,,,
127,OC1=C(C)C=C(C([H])=O)C(C2=CC=CC=C2)=C1,,,,,,,,,,,,,,,,,,,,,
128,OC1=C(C)C=C(C([H])=O)C=C1,,,,,,,,,,,,,,,,,,,,,
129,OC1=C(C([H])=O)C=C(Br)C([O-])=C1C,,,,,,,,,,,,,,,,,,,,,
130,OC1=C(C)C(O)=C(C([H])=O)C=C1C2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,
131,OC1=C(C)C(O)=C(C([H])=O)C=C1C,,,,,,,,,,,,,,,,,,,,,
132,[O-]C1=C(C)C([O-])=C(C([H])=O)C=C1[N+]([O-])=O,,,,,,,,,,,,,,,,,,,,,
133,OC1=C(CC)C(O)=C(C([H])=O)C=C1,,,,,,,,,,,,,,,,,,,,,
134,[O-]C1=C(CC(OC)=O)C(O)=C(C([H])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
135,OC1=C([N+]([O-])=O)C=C(C)C([O-])=C1C,,,,,,,,,,,,,,,,,,,,,
136,BrC1=CC([N+]([O-])=O)=C(O)C(C)=C1[O-],,,,,,,,,,,,,,,,,,,,,
137,O=C1[C@](O)(C)C([O-])=C([N+]([O-])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
138,O=C(C(C(OC)=O)=C(C)/C1=C/[O-])[C@](O)(C)C1=O,,,,,,,,,,,,,,,,,,,,,
139,O=C(C=C(Br)/C1=C/[O-])[C@]([O-])(C)C1=O,,,,,,,,,,,,,,,,,,,,,
140,O=C(C=C(I)/C1=C/[O-])[C@]([O-])(C)C1=O,,,,,,,,,,,,,,,,,,,,,
141,O=C(C=C(C#C)/C1=C/[O-])[C@](O)(C)C1=O,,,,,,,,,,,,,,,,,,,,,
142,OC1=C(C)C([O-])=C(C(C)=O)C=C1Br,,,,,,,,,,,,,,,,,,,,,
143,O=C(C=C(C)/C1=C/[O-])[C@@](CC)(O)C1=O,,,,,,,,,,,,,,,,,,,,,
144,[O-]C1=C(C)C([O-])=C(C([H])=O)C(C)=C1[N+]([O-])=O,,,,,,,,,,,,,,,,,,,,,
145,[O-]C1=C(C)C(O)=C(C([H])=O)C(C)=C1C(OC)=O,,,,,,,,,,,,,,,,,,,,,
146,[NH3+][C@@H](CC1=CC(I)=C(OC2=CC(I)=C([O-])C(I)=C2)C(I)=C1)C([O-])=O,,,,,,,,,,,,,,,,,,,,,
147,COC1=C2O[C@@H]3[C@]45C2C(C=C1)C[C@@H](N(CC5)C)[C@]4([H])C=CC3=O,,,,,,,,,,,,,,,,,,,,,
148,O=C([O-])[C@H](N1C2=O)C(C)(S[C@@]1([C@@H]2NC(C(C3=CC=C(O)C=C3)N)=O)[H])C,,,,,,,,,,,,,,,,,,,,,
149,O=C([C@H]1N(CCC1)C([C@@H]([NH2+][C@@H](CCC2=CC=CC=C2)C([O-])=O)CCCC[NH3+])=O)[O-],,,,,,,,,,,,,,,,,,,,,
150,COC1=CC=C2C(N=C(N2)[S+](O)CC3=C(C(OC)=C(C=[NH+]3)C)C)=C1,,,,,,,,,,,,,,,,,,,,,
151,O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)[O-],,,,,,,,,,,,,,,,,,,,,
152,CCC(C)(C(O[C@@H]1C[C@@H](C=C2C=C[C@H]([C@H]([C@]12[H])CC[C@@H]3C[C@@H](CC(O3)=O)O)C)C)=O)C,,,,,,,,,,,,,,,,,,,,,
153,O=C([C@@H](N1CCC2=C(C1)C=CS2)C3=C(Cl)C=CC=C3)OC,,,,,,,,,,,,,,,,,,,,,
154,[O-]C(CC1(CS[C@@H](C2=CC=CC(/C=C/C3=NC4=C(C=C3)C=CC(Cl)=C4)=C2)CCC5=CC=CC=C5C(C)(C)O)CC1)=O,,,,,,,,,,,,,,,,,,,,,
155,CC(C1=NC(N(S(C)(=O)=O)C)=NC(C2=CC=C(C=C2)F)=C1/C=C/[C@H](C[C@H](CC([O-])=O)O)O)C,,,,,,,,,,,,,,,,,,,,,
156,CC([NH2+]CC(O)COC1=CC=C(CCOC)C=C1)C,,,,,,,,,,,,,,,,,,,,,
157,FC(C=C1)=CC=C1[C@@]2(CCC[NH+](C)C)C3=CC=C(C#N)C=C3CO2,,,,,,,,,,,,,,,,,,,,,
